Slang,Definition,Origin/Context,is_nsfw
Wylin',"A synonym for ""shocking.""","If used to describe a person, it can mean ""hilarious"" or ""weird"" as well. ""YOU JUST MET KENDRICK LAMAR THAT'S SO WILD."" ""She wylin'.""",False
Wildin',"A synonym for ""shocking.""","If used to describe a person, it can mean ""hilarious"" or ""weird"" as well. ""YOU JUST MET KENDRICK LAMAR THAT'S SO WILD."" ""She wylin'.""",False
Wilted rose emoji 🥀,"Replaces, or used in addition to, the broken heart emoji, also expresses disappointment.","The wilted rose emoji originated as a more aesthetic, understated alternative to the broken heart, typically used to convey a sense of ""dramatic"" sadness, melancholy, or disappointment. It is frequently used in social media captions to signal sentimental distress or a vibe of gothic-leaning emotional exhaustion.",False
Woke,"Woke means being aware and sensitive to social, political, or environmental issues. At first it is positive, but sometimes, this slang is also used in a cynical tone.",Example sentence: He's really woke about environmental issues. (He was very sensitive to social issues.),False
yap,"To talk too much, especially without significant meaning.",Speculated to be used as early as 1592 to express annoyance and irritation. Became a TikTok trend in 2023 for someone who talks too much or whose talking does not make sense.,False
yart,"A slang for weed cart, or marijuana vape cartridge","""Yart"" is a portmanteau of the words ""yucky"" or ""yeet"" and ""cart,"" primarily used by Gen Z to refer to a marijuana vape cartridge. It is often used in casual, playful settings to describe the act of vaping or the cartridge itself.",True
YASS!,"Slang is a spirited version of ""Yes!"", usually used to indicate happiness, support, or celebration.",Example: I just won the giveaway. YASS! (I just won the lottery. Yass!),False
Yeet,"Yeet has two popular meanings, namely throwing something strongly, or it can also be used as an expression of enthusiasm/joy.","Example sentence:He just yeeted his phone across the room. (He just threw his phone across the room.)
Yeet! We finally won the game. (Yes! We ended up winning the game.)",False
Yes men,"Yes-men means people who always agree without criticizing, usually given to employees who always obey their superiors' orders, and generally have a negative connotation.","Example sentence: Don't be a yes-man, speak your mind. (Don't be obedient, say your opinion.)",False
Yikes.,"Expressions of shock, embarrassment, or discomfort when they see something wrong or embarrassing.","Example sentence: He showed up 2 hours late... yikes. (He came 2 hours late... (Wow, that's terrible.)",False
You good,"Derived from AAVE, this phrase is a short hand of the usual ""Are you okay?"" greeting, and is generally used to express concern for an acquaintance's well-being.","However, the phrase could have a variety of different meanings depending on the region.",False
Your,"It stands for suspicious, meaning suspicious. This word is increasingly popular through the game Among Us. For the children of the Covid generation, you must be familiar with this game.",Example sentence: He was acting sus during the game. (He acted suspiciously during the game.),False
zaza,A drug slang for Cannabis.,"""Zaza"" is a slang term for high-quality cannabis, originating from the word ""exotic"" (shortened to ""exotics"" and then ""za""). It gained widespread popularity on social media platforms like TikTok and through rap culture to describe potent or top-shelf marijuana.",True
zesty,"Flamboyant, effeminate, or otherwise using the stereotypical mannerisms of a gay man.","""Zesty"" originated in African American Vernacular English (AAVE) and internet culture as a slang term to describe someone, typically a male, who displays flamboyant or stereotypically effeminate mannerisms. While it is often used playfully to tease friends, it can also be used pejoratively to imply that someone is ""acting gay.""",False
Zombie,"A romantic interest who ghosts you, then returns.","The term ""zombieing"" describes a dating behavior where someone who previously ""ghosted"" or suddenly cut off communication reappears as if nothing happened. It draws a metaphor from the undead, suggesting the stagnant relationship has been brought back to life without warning.",False
Zonk,"This means sudden fall asleep or very deep sleep due to fatigue. It is usually used when a person is too tired after hard work, exercise, or long activities, so that they fall asleep without realizing it.","Example sentence: He was so tired, he zonked on the couch. (He was so tired, that he fell asleep on the couch.)",False
Zonked,"Very very tired, depleted of energy, usually after long work, exercise, or long trips.","Example sentence: After that 12-hour shift, I was completely zonked and went straight to bed. (After the 12-hour shift, I was completely exhausted and went straight to sleep.)",False
Zoomies,"A sudden burst of energy. It is usually used for pets (especially dogs/cats), but now it is also used in a humorous way for humans.",Example sentence: The dog got the zoomies and ran around the house. (Her dog was suddenly running around the house.),False
